"Name","Team","wRC+","playerid"
"David Dahl","- - -","93","13744"
"Corey Dickerson","- - -","108","10762"
"Mike Moustakas","- - -","103","4892"
"Jake Lamb","- - -","101","13329"
"Keston Hiura","MIL","105","20003"
"Miguel Cabrera","DET","107","1744"
"Cedric Mullins II","BAL","109","17929"
"Sean Murphy","OAK","116","19352"
"Nick Markakis","ATL","101","5930"
"Tommy La Stella","- - -","106","12371"
"Yoan Moncada","- - -","108","17232"
"Eric Hosmer","- - -","106","3516"
"Evan Gattis","HOU","109","11003"
"Javier Baez","- - -","105","12979"
"Jay Bruce","- - -","104","9892"
"Austin Slater","SFG","107","16153"
"Brian Anderson","MIA","107","18289"
"Francisco Cervelli","- - -","103","5275"
"Neil Walker","- - -","104","7539"
"Mark Trumbo","BAL","103","6876"
"Kolten Wong","- - -","105","12532"
"Tyler Naquin","- - -","101","13359"
"Cavan Biggio","TOR","105","19252"
"Robbie Grossman","- - -","106","5254"
"Mike Napoli","- - -","96","3057"
"Robinson Chirinos","- - -","100","3142"
"Lorenzo Cain","- - -","101","9077"
"Curtis Granderson","- - -","104","4747"
"Mitch Moreland","- - -","99","3086"
"Zack Cozart","- - -","98","2616"
"Logan Morrison","- - -","105","9205"
"Aledmys Diaz","- - -","105","15937"
"Aaron Hicks","NYY","105","5297"
"Whit Merrifield","- - -","102","11281"
"Jared Walsh","LAA","105","18607"
"Alex Avila","- - -","101","7476"
"Eddie Rosario","- - -","103","12155"
"Kyle Seager","SEA","108","9785"
"Evan Longoria","- - -","105","9368"
"Melky Cabrera","- - -","102","4022"
"Rowdy Tellez","- - -","104","15679"
"Tim Anderson","CHW","104","15172"
"Ryan McMahon","COL","89","15112"
"Carlos Beltran","- - -","101","589"
"Avisail Garcia","- - -","104","5760"
"Danny Valencia","- - -","104","6364"
"Matt Adams","- - -","98","9393"
"Brett Gardner","NYY","102","9927"
"Ian Desmond","- - -","88","6885"
"Kendrys Morales","- - -","101","8610"
"Renato Nunez","- - -","100","14503"
"Brian Goodwin","- - -","99","12858"
"Denard Span","- - -","102","8347"
"Jose Bautista","- - -","101","1887"
"Stephen Piscotty","- - -","103","13367"
"Anthony Santander","BAL","103","14551"
"Travis Shaw","- - -","97","11982"
"Kurt Suzuki","- - -","97","8259"
"Josh Reddick","- - -","103","3892"
"Eduardo Escobar","- - -","100","6153"
"Austin Hays","BAL","104","19363"
"Luis Urias","- - -","101","16622"
"Adam Duvall","- - -","96","10950"
"Max Kepler","MIN","101","12144"
"Scott Schebler","- - -","94","12225"
"Jed Lowrie","- - -","105","4418"
"Adam Jones","- - -","98","6368"
"Brad Miller","- - -","101","12775"
"Chris Iannetta","- - -","91","8267"
"Omar Narvaez","- - -","101","13338"
"Todd Frazier","- - -","101","785"
"Miguel Andujar","- - -","102","15878"
"Travis d'Arnaud","- - -","101","7739"
"Colin Moran","- - -","98","16909"
"Steven Souza Jr.","- - -","100","5667"
"Yonder Alonso","- - -","99","2530"
"Odubel Herrera","PHI","97","11476"
"Daulton Varsho","ARI","101","19918"
"Hunter Pence","- - -","97","8252"
"Cameron Maybin","- - -","100","5223"
"Welington Castillo","- - -","95","3256"
"Ian Kinsler","- - -","98","6195"
"Jason Kipnis","- - -","96","9776"
"Brendan Rodgers","COL","87","17907"
"Cesar Hernandez","- - -","97","10556"
"Ryon Healy","- - -","101","15447"
"Austin Nola","- - -","104","15941"
"Lucas Duda","- - -","98","2502"
"Andrew Vaughn","CHW","104","26197"
"Randal Grichuk","- - -","96","10243"
"Dylan Carlson","STL","103","20126"
"Jonathan Villar","- - -","97","10071"
"Tommy Edman","STL","102","19470"
"Adam Frazier","- - -","99","15223"
"Daniel Descalso","- - -","89","8392"
"Didi Gregorius","- - -","97","6012"
"Brandon Drury","- - -","94","11615"
"Starlin Castro","- - -","97","4579"
"Brian McCann","- - -","96","4810"
"Adolis Garcia","- - -","103","19287"
"Brandon Crawford","SFG","98","5343"
"Jacoby Ellsbury","NYY","95","4727"
"Dansby Swanson","ATL","94","18314"
"Jeimer Candelario","- - -","99","13621"
"Danny Jansen","TOR","98","16535"
"Victor Martinez","DET","95","393"
"Josh Rojas","ARI","96","19734"
"Jonathan Schoop","- - -","97","11265"
"Russell Martin","- - -","95","4616"
"Paul DeJong","STL","97","18015"
"Dominic Smith","NYM","100","15653"
"Hunter Dozier","KCR","95","15117"
"Brandon Phillips","- - -","90","791"
"Chase Headley","- - -","94","4720"
"Jurickson Profar","- - -","96","10815"
"Josh Naylor","- - -","100","18839"
"Ben Gamel","- - -","97","12160"
"Albert Pujols","- - -","97","1177"
"Nomar Mazara","- - -","89","14553"
"Kole Calhoun","- - -","96","11200"
"Harold Ramirez","- - -","101","14387"
"Adrian Gonzalez","- - -","96","1908"
"Ke'Bryan Hayes","PIT","97","18577"
"Jonathan Lucroy","- - -","90","7870"
"Manny Pina","- - -","91","2829"
"Gavin Lux","LAD","99","19955"
"Alec Bohm","PHI","96","21618"
"Devon Travis","TOR","94","13862"
"Joey Wendle","- - -","100","13853"
"Ender Inciarte","- - -","89","4922"
"Gregory Polanco","PIT","93","12907"
"Tim Beckham","- - -","95","7949"
"Eduardo Nunez","- - -","91","6848"
"Harrison Bader","- - -","97","18030"
"Enrique Hernandez","- - -","94","10472"
"Trent Grisham","- - -","98","18564"
"Marwin Gonzalez","- - -","96","5497"
"Elvis Andrus","- - -","91","8709"
"Greg Garcia","- - -","93","10951"
"Johan Camargo","- - -","90","14950"
"Mike Zunino","- - -","97","13265"
"Dylan Moore","SEA","100","18042"
"Yangervis Solarte","- - -","91","5352"
"Matt Duffy","- - -","95","13836"
"David Bote","CHC","91","14593"
"Yadier Molina","STL","93","7007"
"Curt Casali","- - -","90","12510"
"Luis Valbuena","- - -","93","4969"
"Jon Berti","- - -","95","12037"
"J.P. Crawford","- - -","98","15491"
"Austin Barnes","LAD","93","12158"
"Jon Jay","- - -","89","5227"
"Raimel Tapia","- - -","80","14350"
"Josh Harrison","- - -","91","8202"
"Chase Utley","LAD","92","1679"
"Tony Kemp","- - -","98","14894"
"Kyle Farmer","- - -","86","14813"
"Gerardo Parra","- - -","77","8553"
"Amed Rosario","- - -","95","15518"
"Matt Davidson","- - -","92","7226"
"Jason Heyward","CHC","88","4940"
"Eric Sogard","- - -","89","7927"
"Carlos Gomez","- - -","88","4881"
"Chad Pinder","OAK","96","15191"
"Kevin Kiermaier","TBR","95","11038"
"Jackie Bradley Jr.","- - -","86","12984"
"Jake Cave","MIN","92","14477"
"Logan Forsythe","- - -","88","7185"
"Jason Castro","- - -","90","8722"
"Jose Iglesias","- - -","86","10231"
"Addison Russell","CHC","86","14106"
"Jose Reyes","NYM","91","1736"
"Jordy Mercer","- - -","87","6547"
"Jace Peterson","- - -","88","12325"
"Christian Vazquez","- - -","85","9774"
"Brock Holt","- - -","85","9345"
"Kevin Pillar","- - -","87","12434"
"Mallex Smith","- - -","90","13608"
"Jorge Alfaro","- - -","89","12180"
"Manuel Margot","- - -","90","14712"
"Rafael Ortega","- - -","89","10323"
"Andrelton Simmons","- - -","88","10847"
"Rougned Odor","- - -","81","12282"
"David Fletcher","LAA","87","17992"
"Carson Kelly","- - -","85","13620"
"Danny Santana","- - -","79","10322"
"Pablo Sandoval","- - -","85","5409"
"Tucker Barnhart","- - -","81","10200"
"Keon Broxton","- - -","81","9253"
"Freddy Galvis","- - -","83","6609"
"Alex Gordon","KCR","82","5209"
"Niko Goodrum","- - -","85","12092"
"Martin Prado","MIA","87","3312"
"Miguel Rojas","MIA","87","7802"
"Michael A. Taylor","- - -","83","11489"
"Harold Castro","DET","88","14691"
"Kevin Plawecki","- - -","85","13807"
"Yan Gomes","- - -","82","9627"
"Jake Marisnick","- - -","86","11339"
"Ehire Adrianza","- - -","83","8418"
"Elias Diaz","- - -","76","11680"
"Maikel Franco","- - -","81","12179"
"Jose Peraza","- - -","78","13593"
"Michael Chavis","- - -","82","17321"
"Hanser Alberto","- - -","81","11902"
"Ryan O'Hearn","KCR","82","16442"
"Cheslor Cuthbert","- - -","80","10473"
"Joe Panik","- - -","82","11936"
"Pedro Severino","- - -","81","14523"
"Albert Almora Jr.","- - -","80","14109"
"Jacob Stallings","- - -","84","13723"
"Victor Caratini","- - -","83","14968"
"Stephen Vogt","- - -","83","5000"
"Hernan Perez","- - -","78","5751"
"James McCann","- - -","82","12859"
"Nick Ahmed","ARI","77","12147"
"Matt Wieters","- - -","78","4298"
"Yolmer Sanchez","- - -","82","11602"
"Adalberto Mondesi","KCR","79","13769"
"Isiah Kiner-Falefa","- - -","82","16512"
"Willi Castro","DET","86","17338"
"Delino DeShields","- - -","72","11379"
"Leury Garcia","CHW","82","5913"
"Leonys Martin","- - -","82","11846"
"Victor Robles","WSN","78","18363"
"Chris Davis","BAL","78","9272"
"Luis Rengifo","LAA","82","19858"
"Victor Reyes","DET","83","15487"
"Nick Senzel","CIN","74","19293"
"Guillermo Heredia","- - -","82","18721"
"Jake Bauers","- - -","82","15194"
"Wilmer Difo","- - -","75","14320"
"Garrett Hampson","COL","64","19262"
"Dee Strange-Gordon","- - -","81","8203"
"Max Stassi","- - -","80","10059"
"Kevin Newman","PIT","77","17696"
"Travis Jankowski","- - -","78","13768"
"Myles Straw","- - -","81","17620"
"Orlando Arcia","- - -","74","13185"
"Scott Kingery","PHI","73","17975"
"Chris Owings","- - -","69","10030"
"Rajai Davis","- - -","73","3708"
"Roberto Perez","- - -","72","2900"
"Nicky Lopez","KCR","73","19339"
"Tony Wolters","- - -","56","11470"
"Jarrod Dyson","- - -","71","4866"
"JaCoby Jones","DET","72","14818"
"Martin Maldonado","- - -","73","6887"
"Alcides Escobar","- - -","68","6310"
"Adeiny Hechavarria","- - -","72","10459"
"Adam Engel","CHW","72","15082"
"Juan Lagares","- - -","72","5384"
"Billy Hamilton","- - -","64","10199"
"Austin Romine","- - -","67","5491"
"Sandy Leon","- - -","63","5273"
"Austin Hedges","- - -","57","12976"
"Lewis Brinson","- - -","55","14352"
