Player,Pitches,Appearances,Stuff+,Location+,Pitching+,CSW%,xwOBAcon,Z-Whiff%,Chase%
Yu Darvish,2764,30,111.7,101.5,107.5,30.3,0.356,31.4,20.2
Joely Rodriguez,754,51,111.7,100.2,105,30.1,0.344,29.4,26.6
John Schreiber,56,1,111.6,99.9,104.8,28.6,0.486,40,23.5
Sam Coonrod,712,42,111.6,102.8,105.1,27.2,0.35,33.6,21.1
Gabe Klobosits,194,11,111.5,99.1,98.1,22.2,0.27,18.9,19
Dylan Coleman,109,5,111.5,99.4,99.2,22.9,0.287,52.2,14.8
A.J. Minter,876,61,111.3,100.2,104.3,30.8,0.308,34.1,22.8
Jorge Alcala,869,59,111.2,104.1,106.2,28.9,0.373,36.5,24.8
Jake Diekman,1087,66,110.9,95.8,101.6,30.8,0.409,40.1,20.7
Emilio Pagan,1098,67,110.7,102,103.8,26.8,0.415,41.3,21.6
Pete Fairbanks,766,47,110.7,97.8,107.4,30.2,0.32,40.8,20
Freddy Peralta,2229,27,110.7,98.6,106.2,31.2,0.314,41.4,21
Jordan Hicks,200,10,110.6,92.9,99.8,24,0.224,31.8,16
Heath Hembree,1088,60,110.5,101.7,106.7,28.8,0.361,38.7,19.6
Eduard Bazardo,52,2,110.5,104.6,103.8,30.8,0.218,0,31.2
Shohei Ohtani,2021,23,110.5,97.7,102.7,28.7,0.344,32.7,19.9
Kendall Graveman,858,53,110.4,97.2,102.6,28.6,0.341,27.2,21.8
Luis GarcIa,501,34,110.3,99.3,104,32.1,0.343,31.5,22.1
Enoli Paredes,252,12,110.3,84.5,92.3,25.4,0.387,43.5,14.4
Adam Ottavino,1142,69,110.1,95.4,104.3,31.9,0.322,28.7,17.3
Zach Pop,934,50,110.1,96,101.5,26.3,0.322,25,22.8
Hirokazu Sawamura,939,55,109.8,89.4,94.7,27.7,0.374,35.1,25.4
Alex Vesia,641,41,109.8,99.9,105.6,32.1,0.317,54.5,21.4
Julio Urias,2784,32,109.7,107.8,109.8,29.8,0.339,29.1,22.1
Corey Knebel,397,27,109.7,101.8,108.2,29.5,0.34,43,16.3
Drew Rasmussen,1201,35,109.7,102.9,107.8,29.1,0.348,29.6,18.7
Logan Webb,2196,27,109.7,102.1,104.9,31.1,0.337,23.2,25.8
Nick Sandlin,601,34,109.7,96.2,102.1,32.4,0.298,36.2,20.2
Carlos Rodon,2218,24,109.5,101.8,103.9,30.4,0.339,41.1,22.5
Jay Jackson,391,23,109.5,97.8,102,30.2,0.397,32.7,18.8
Luis Severino,98,4,109.4,103,108.8,28.6,0.275,46.2,20.9
Sandy Alcantara,3092,33,109.4,104.3,105.8,27.9,0.342,30.7,25.3
Max Scherzer,2785,30,109.4,102.9,105.8,31.7,0.361,40.5,23.1
Lucas Luetge,1236,57,109.4,95.9,104.3,25.1,0.349,27.9,22.6
Bryan Shaw,1364,80,109.3,96.2,99.6,25,0.358,27.8,18.8
J.P. Feyereisen,966,54,109.3,97.4,103.6,28.1,0.323,43.8,25.2
Devin Smeltzer,52,1,109.2,92.2,87.1,26.9,0.291,36.4,25.9
Keynan Middleton,526,32,109.2,100.2,104.3,25.9,0.353,40.8,25.1
Kyle Crick,434,27,109.2,86.4,99.3,26.7,0.305,29.2,20.7
Mitch Moreland,4,1,109.1,127.7,114,0,0.163,0,0
Tyler Wells,894,44,109.1,106.2,107.3,27,0.381,37.6,22.7
Jose Ruiz,1036,59,109.1,102.6,102.5,27.6,0.377,27.6,18.3
Tanner Rainey,664,38,109,95.9,100.2,29.8,0.391,46.2,21.9
Brandon Woodruff,2799,30,109,107.1,108.7,30,0.359,39.6,22.2
Brooks Raley,865,58,109,99.6,102.1,30.5,0.4,36,22
Bryan Abreu,689,31,109,92.6,99.8,27.1,0.368,31.4,22.6
Preston Guilmet,29,2,109,104.6,98,34.5,0.573,0,36.8
Matt Barnes,918,60,108.9,103,107.6,33.9,0.358,34.9,24.7
Josh Sborz,1077,63,108.8,93.8,100.5,27.9,0.354,34.8,24.6
Phil Bickford,775,57,108.8,105.5,109.6,30.2,0.35,33.5,20.9
Trevor May,1117,68,108.7,102.1,106.2,29.7,0.342,41.1,21.8
Steven Okert,601,34,108.7,97.3,104.4,29.1,0.318,41.7,20.2
Lucas Sims,814,47,108.6,99.4,102,34.6,0.346,37.9,23.7
Josh Taylor,789,61,108.6,97.2,99.6,29.7,0.393,33.6,24.3
Tanner Houck,1135,18,108.5,98.8,102.5,30.1,0.347,31,22.5
Chris Devenski,145,8,108.4,92.7,105.7,29,0.541,25.9,18.7
Clayton Kershaw,1802,22,108.4,100.7,102,32.9,0.362,30.4,27.3
Brady Lail,28,2,108.3,92.7,105.5,35.7,0.316,37.5,33.3
Reyes Moronta,47,4,108.2,94.9,101.3,19.1,0.281,0,14.8
Jeurys Familia,1015,65,108.2,100.1,99.7,29.5,0.355,25.8,22.5
Tim Hill,945,77,108.2,103.9,104.2,27.9,0.334,32.8,19.3
Joe Kelly,703,48,108.2,100.1,100.9,33.6,0.328,23.4,21.2
Jacob Barnes,570,29,108.1,101.4,102.6,26.8,0.384,27.8,20.7
Zac Gallen,2101,23,108,102.7,103.7,27,0.366,23.4,18.1
Tyler Matzek,1064,69,108,96.9,102.3,25.8,0.3,38.7,17.6
David Bednar,930,61,107.8,104,108.9,31,0.325,41.2,23.2
Albert Abreu,642,28,107.8,98.1,97.9,28,0.376,31.9,20.7
Greg Holland,996,57,107.8,95.4,100.5,27.4,0.413,30.1,22
Taylor Rogers,641,40,107.5,104.3,105.9,34,0.362,35.8,23.4
Drew Pomeranz,428,27,107.5,102.8,106.9,31.8,0.347,41,15.5
Dauri Moreta,57,4,107.4,102.9,110.3,19.3,0.306,10,16.7
Garrett Crochet,913,54,107.4,97,100.9,29,0.336,31.2,18.3
A.J. Puk,243,12,107.3,97.3,100.2,26.7,0.366,26.7,17.3
Dylan Floro,1074,68,107.2,106.5,105.4,27.2,0.334,33.1,22.1
James Paxton,23,1,106.9,106.7,106.4,26.1,0.12,100,31.2
Louis Head,546,27,106.8,99.6,105,25.8,0.298,28,20.7
Rich Hill,2456,32,106.7,99.6,105.5,30.5,0.369,26.4,18.7
Shane McClanahan,1949,25,106.7,101.6,105.7,31.6,0.418,27.5,25.7
Austin Adams,961,65,106.7,83.5,98,32.7,0.318,32.5,19.5
DJ Johnson,71,4,106.6,102.3,108.4,32.4,0.447,50,15.8
Kenley Jansen,1057,69,106.6,101.1,105.6,32,0.305,45.9,23.8
Zack Wheeler,3193,32,106.5,105.2,109.5,28,0.327,32.6,22.3
Juan Minaya,659,29,106.5,92.2,96.1,24,0.311,33.3,20.1
John Means,2327,26,106.5,103.9,106.5,26.8,0.374,37.3,20.9
Joey Krehbiel,133,6,106.5,104.8,101.6,22.6,0.28,30.4,17.1
Diego Castillo,932,61,106.4,101.2,105.5,32.3,0.328,28.1,25.1
Nick Pivetta,2744,31,106.4,100.7,104.7,27.1,0.357,29.8,18.9
Ryan Borucki,367,24,106.4,95.3,98.8,30.8,0.343,23.4,22.2
Kyle Nelson,176,10,106.4,88,93.7,31.2,0.317,30.3,20.4
Adam Wainwright,3040,32,106.3,104,104.9,29.8,0.345,15.9,20.3
Austin Voth,1020,49,106.2,101.5,103,25.7,0.451,30.2,19.9
Scott Barlow,1221,71,105.9,98.2,100.9,33.1,0.355,26.4,26.4
Jeremy Beasley,198,8,105.9,90.3,94.7,27.8,0.402,54.8,22
Jose Berrios,3033,32,105.9,103.4,103.1,29.2,0.385,27.8,21
Robert Stephenson,765,49,105.9,97.7,100.7,30.2,0.364,30.1,19.2
Miguel Castro,1227,69,105.7,93.3,102.8,30.2,0.34,37.6,22
Brent Suter,1213,61,105.7,103.7,103.1,24.6,0.341,18.5,20.4
Sonny Gray,2194,26,105.7,99.2,101.2,30,0.327,22.6,20.1
Nathan Eovaldi,2924,32,105.6,106.7,106.1,29.9,0.352,30.7,23.5
Frankie Montas,3022,32,105.6,103.3,104.7,29.3,0.381,32.8,24
Garrett Cleavinger,356,22,105.6,94.8,98.3,33.1,0.374,14.6,19.6
Michael Fulmer,1182,52,105.5,99.2,101,27.7,0.361,30,22.9
Tommy Nance,456,27,105.5,98.2,95.6,31.4,0.385,21.6,19.8
Trevor Stephan,1210,43,105.5,101.7,102.2,27.9,0.428,40.5,18.3
Ryan Sherriff,278,16,105.5,92.1,98.8,28.4,0.302,25,16.6
Jimmie Sherfy,230,14,105.4,98.7,98.5,33.5,0.342,21.6,22
Manny Barreda,48,3,105.3,107.3,104.6,22.9,0.491,33.3,11.5
Hector Neris,1241,74,105.3,101.1,103,32,0.322,42.2,23.1
Mark Melancon,1031,63,105.3,105.7,103.1,27.5,0.371,21.9,18.8
Cooper Criswell,41,1,105.3,87.5,86.4,14.6,0.386,0,9.1
Romy Gonzalez,4,1,105.3,98.1,9.5,50,NA,100,33.3
Tim Mayza,840,61,105.2,100.6,101.6,29.3,0.326,23.4,21.4
Yacksel Rios,457,23,105.2,92,100.8,26.7,0.338,23.8,21.1
Noe Ramirez,579,38,105.2,99,100.6,28.5,0.272,28.1,20.7
Brandon Dickson,35,2,105.1,99.8,99.5,28.6,0.446,14.3,23.8
Seth Martinez,63,3,105.1,100.9,85.9,28.6,0.449,41.7,11.8
Roansy Contreras,46,1,105,98.7,102.1,28.3,0.347,33.3,15.4
Cole Sulser,1069,60,104.9,102.6,105.2,28.9,0.33,39,24.3
Art Warren,327,26,104.8,97.1,101,30.9,0.276,52.5,25.9
J.D. Hammer,405,20,104.8,97.7,96.7,28.1,0.324,30.4,17.9
Andrew Bellatti,83,3,104.7,100.3,100.7,24.1,0.456,33.3,29.8
Tony Watson,859,62,104.7,103.2,104,27.4,0.317,32.1,24.3
Bryan Baker,19,1,104.7,100.8,105.9,26.3,0.45,25,27.3
Darren O'Day,189,12,104.7,99.1,101.3,28,0.375,33.3,21.6
Genesis Cabrera,1185,71,104.7,98,101.4,26.2,0.33,34.2,19.3
Kevin Gausman,2993,33,104.7,103.7,106.4,31.1,0.375,36.8,25.6
JT Chargois,875,56,104.6,95.2,100.8,27.3,0.345,28.3,19.6
Yency Almonte,866,48,104.6,91,94.2,26.9,0.387,21.6,19.6
Connor Brogdon,922,56,104.6,101.1,102.6,24.9,0.299,41.7,23.1
Dinelson Lamet,832,22,104.5,99.7,103.7,30.8,0.369,30.6,24.8
Mitch White,761,21,104.3,103.2,104.5,27.1,0.351,27.3,19.6
Luis FrIas,68,3,104.3,89.1,94.4,26.5,0.312,25,15.4
Josh Staumont,1079,63,104.3,97.8,97.8,29,0.366,32.7,18.8
Erik Swanson,564,33,104.3,101.9,106.5,25.7,0.325,40,22.1
Mason Thompson,423,31,104.2,94.2,94.2,24.6,0.36,16.2,19.8
Darwinzon Hernandez,743,48,104.2,95.2,96.8,31,0.358,47.7,13.4
Matt Duffy,5,1,104.2,102.7,104.1,20,0.037,NA,20
Huascar Ynoa,1482,18,104.1,99.3,100.3,30.5,0.402,19.8,23.4
Camilo Doval,447,29,103.9,102.3,105,33.8,0.356,29.2,24.9
Amir Garrett,815,63,103.9,94.8,97.4,33.3,0.392,28.9,22.7
Spencer Turnbull,775,9,103.9,101.6,104,25.9,0.297,28.5,20.7
Stephen Tarpley,15,1,103.9,40.2,57.9,20,0.702,0,8.3
Cristian Javier,1784,36,103.8,95.7,97.5,27.6,0.409,40.8,18.1
Michael Lorenzen,480,27,103.8,101.2,100.4,27.7,0.31,25.3,24.7
Reynaldo Lopez,937,20,103.7,101.9,104,26.4,0.373,29.9,20.2
